,trend,PESTLE Tag1,PESTLE Tag2,summary,source,links,source title,source date,source location,DC,SS,AC,AT,RL,SC,EF,IB,Total
0,U.S. Drug Price Reform Targets Global Pharma Giants,Political,Economic,"On May 13, 2025, President Donald Trump announced an executive order aimed at significantly reducing U.S. drug prices by up to 80%. The order seeks to match U.S. drug prices with those of the lowest in similarly developed countries through 'most favoured nation' pricing. This move impacts major pharmaceutical companies that rely heavily on U.S. revenues. Analysts anticipate legal challenges and implementation complexities.",Financial Times,https://www.ft.com/content/831a941e-5c5c-4cdd-af38-2fb70d848881,Trump vows drug price cuts with global impact,2025-05-13,USA,5,4,4,2,5,4,4,5,33
1,Global Regulators Prioritize Climate Risk Assessment,Environmental,Legal,"On May 12, 2025, the Basel Committee on Banking Supervision announced plans to enhance the assessment of financial risks related to climate change. A voluntary disclosure framework is set to guide national regulators, aligning with European and British strategies. However, the U.S. has withdrawn from several climate-focused initiatives, indicating a regulatory divergence.",Reuters,https://www.reuters.com/sustainability/cop/global-banking-regulators-agree-prioritise-climate-risk-work-2025-05-12/,Global banking regulators agree to prioritise climate risk work,2025-05-12,Global,1,3,4,2,4,2,2,4,22
2,U.S. Groups Raced to Stockpile Pharmaceuticals Ahead of Tariffs,Economic,Legal,"In March 2025, U.S. imports of pharmaceuticals and medical industry products surged to a record $53 billion, a 160% increase from the previous year. This rush reflects fears among companies over potential tariffs from the Trump administration. Major pharmaceutical firms have announced multi-billion dollar investments to expand U.S. manufacturing capacity.",Financial Times,https://www.ft.com/content/bcf501c7-9c7f-40ed-8da2-be6fb769a106,Pharma companies stockpile as U.S. tariffs loom,2025-03-30,USA,4,4,3,3,2,4,4,4,28
3,AI in Healthcare Market Projected to Reach $24.18 Billion,Technological,Economic,"The artificial intelligence in healthcare market size has grown exponentially in recent years. It will grow from $18.16 billion in 2024 to $24.18 billion in 2025 at a compound annual growth rate (CAGR) of 33.2%. The growth is driven by increasing implementation of AI in radiology, cost-efficient drug discovery, and rising funding in AI healthcare.",The Business Research Company,https://www.thebusinessresearchcompany.com/report/artificial-intelligence-in-healthcare-global-market-report,Artificial Intelligence In Healthcare Global Market Report,2025-04-15,Global,5,5,4,5,1,4,4,4,32
4,Medical Costs Projected to Remain High Globally,Economic,Social,"The WTW Global Medical Trends Survey reveals that medical costs are projected to remain high at a global average rate of 10.4% in 2025. Rising medical costs are driven by advancements in technology and pharmaceuticals, overwhelmed public healthcare systems, and increased private healthcare demand.",WTW,https://www.wtwco.com/en-us/insights/2024/10/2025-global-medical-trends-survey,2025 Global Medical Trends Survey,2025-04-01,Global,4,5,4,4,1,4,4,4,30
5,U.S. Banking Sector Advocates for Easing Leverage Rules,Legal,Economic,"The U.S. banking industry is urging regulators to reform the Supplementary Leverage Ratio (SLR), a post-financial crisis rule requiring banks to hold capital even against low-risk assets like Treasury bonds. Regulatory bodies are considering adjustments, such as exempting Treasuries and central bank deposits or modifying the 'enhanced' SLR applicable to large banks.",Reuters,https://www.reuters.com/sustainability/boards-policy-regulation/banking-sector-says-easing-us-leverage-rules-could-support-treasury-market-2025-05-13/,Banking sector says easing U.S. leverage rules could support Treasury market,2025-05-13,USA,1,4,3,2,4,1,2,4,21
6,Asian Banks Experience Boost Amid Currency Rally,Economic,Technological,"A rally in Asian currencies, led by the Taiwan dollar and followed by currencies from China, Hong Kong, Malaysia, Singapore, and South Korea, is strengthening Asian banks' wealth management and forex services. This shift is partly due to rising demand for local currency-denominated assets as investors move away from U.S. dollar assets amid heightened trade tariff uncertainties.",Reuters,https://www.reuters.com/business/finance/asian-banks-see-big-boost-wealth-business-currencies-rally-2025-05-08/,Asian banks see big boost to wealth business as currencies rally,2025-05-08,Asia,2,4,4,3,2,2,4,4,25
7,Investment Banks Push More into Private Equity Amid Tariff Challenges,Economic,Strategic,"New U.S. tariffs announced by President Donald Trump in April 2025 have significantly disrupted mergers and acquisitions (M&A), particularly affecting private equity firms. Despite the slump, investment banks are investing in their financial sponsors teams, betting on a long-term rebound.",Financial News London,https://www.fnlondon.com/articles/trump-tariffs-ice-deals-but-banks-push-into-pe-more-d0da82ae,Trump tariffs ice deals but banks push into PE more,2025-04-20,USA,2,4,2,2,2,2,4,4,22
8,Bank of England Cuts Interest Rates Amid Global Economic Uncertainty,Economic,Political,"On May 8, 2025, the Bank of England reduced its main interest rate by 0.25 percentage points to 4.25%, marking the fourth rate cut since August. Governor Andrew Bailey cited easing inflationary pressures and global economic unpredictability—particularly stemming from U.S. tariff policies—as reasons for a cautious and gradual approach to further cuts.",AP News,https://apnews.com/article/7e0c53692ba6e99d4f6854059741a2f8,Bank of England cuts rates for fourth time,2025-05-08,UK,2,2,2,1,1,1,2,4,15
9,Global Banking Industry Advances Toward Digital and Cashless Ecosystem,Technological,Social,The global banking industry is advancing toward a more digital and cashless ecosystem. Robust security systems and unwavering trust in transactions become paramount as banks navigate this transformation.,NTT DATA,https://uk.nttdata.com/reports/banking-trends-2025/ntt-data-banking-trends-2025-report.pdf,NTT DATA Banking Trends 2025 Report,2025-03-31,Global,1,4,4,4,2,2,4,4,25
